isHeading,Artifact Type,module,parentBinding,Name,Primary Text,Description,Within Scope?,Justification
TRUE,Header,System,,3,Specific Requirements,Specific Requirements,TRUE,Header
TRUE,Header,System,3,3.1,Functionality,Functionality,TRUE,Header
TRUE,Header,Sales,3.1,3.1.1,Sell Configured to Ordered Products,Sell Configured to Ordered Products,TRUE,Header
FALSE,Requirement,Sales,3.1.1,3.1.1.1,The system shall display all the products that can be configured.,Sell Configured to Ordered Products,TRUE,Web API
FALSE,Test,Sales,3.1.1.1,ReturnAllProducts,Displays a non-zero length list if at least one configurable product exists.,Sell Configured to Ordered Products,TRUE,Test case
FALSE,Test,Sales,3.1.1.1,ReturnZeroProductsIfNoneExist,Displays a list of length zero if no configurable products exist.,Sell Configured to Ordered Products,TRUE,Test case
FALSE,Requirement,Sales,3.1.1,3.1.1.2,The system shall allow user to select the product to configure.,Sell Configured to Ordered Products,TRUE,Web API
FALSE,Test,Sales,3.1.1.2,UserSelectsValidProduct,Indicates a valid product was selected.,Sell Configured to Ordered Products,TRUE,Test case
FALSE,Test,Sales,3.1.1.2,UserSelectsInvalidProduct,Indicates an invalid product was selected.,Sell Configured to Ordered Products,TRUE,Test case
FALSE,Requirement,Sales,3.1.1,3.1.1.3,The system shall display all the available components of the product to configure.,Sell Configured to Ordered Products,TRUE,Web API
FALSE,Test,Sales,3.1.1.3,ReturnOneConfigurableElement,Indicates a single configurable element of the product with one configurable element.,Sell Configured to Ordered Products,TRUE,Test case
FALSE,Test,Sales,3.1.1.3,ReturnMultipleConfigurableElement2,Indicates 5 configurable elements of the product with 5 configurable elements.,Sell Configured to Ordered Products,TRUE,Test case
FALSE,Requirement,Sales,3.1.1,3.1.1.4,The system shall enable user to add one or more component to the configuration.,Sell Configured to Ordered Products,TRUE,Web API
FALSE,Test,Sales,3.1.1.4,UserCanConfigure,Returns the configuration specified by the user for a product.,Sell Configured to Ordered Products,TRUE,Test case
FALSE,Requirement,Sales,3.1.1,3.1.1.5,The system shall notify the user about any conflict in the current configuration.,Sell Configured to Ordered Products,TRUE,Web API
FALSE,Test,Sales,3.1.1.5,ErrorIfNonConfigurable,Returns an error if the user attempts to configure a non-configurable product.,Sell Configured to Ordered Products,TRUE,Test case
FALSE,Requirement,Sales,3.1.1,3.1.1.6,The system shall allow user to update the configuration to resolve conflict in the current configuration.,Sell Configured to Ordered Products,TRUE,Web API
FALSE,Test,Sales,3.1.1.6,RetryImmediatelyAfterError,The user may configure a valid product after attempting to configure an invalid product.,Sell Configured to Ordered Products,TRUE,Test case
FALSE,Requirement,Sales,3.1.1,3.1.1.7,The system shall allow user to confirm the completion of current configuration.,Sell Configured to Ordered Products,TRUE,Web API
TRUE,Header,Products,3.1,3.1.2,Provide comprehensive product details.,Provide comprehensive product details.,TRUE,Header
FALSE,Requirement,Products,3.1.2,3.1.2.1,The system shall display detailed information of the selected products.,Provide comprehensive product details.,TRUE,Web API
FALSE,Test,Products,3.1.2.1,DisplayDetailsForValidProduct,Returns the details of a valid product.,Provide comprehensive product details.,TRUE,Test case
FALSE,Test,Products,3.1.2.1,Return error for invalid product,Returns an error for an invalid product.,Provide comprehensive product details.,TRUE,Test case
FALSE,Requirement,Products,3.1.2,3.1.2.2,The system shall provide browsing options to see product details.,Provide comprehensive product details.,TRUE,Web API
FALSE,Test,Products,3.1.2.2,CatalogSelectionToDetails,"The user may retrieve the catalog, select a product, and get its details.",Provide comprehensive product details.,TRUE,Test case
TRUE,Header,Products,3.1,3.1.3,Detailed product Categorizations,Detailed product Categorizations,TRUE,Header
FALSE,Requirement,Products,3.1.3,3.1.3.1,The system shall display detailed product categorization to the user.,Detailed product Categorizations,TRUE,Web API
FALSE,Test,Products,3.1.3.1,DisplayProductCategories,The user may retrieve product categories.,Detailed product Categorizations,TRUE,Test case
TRUE,Header,Search,3.1,3.1.4,Provide Search facility.,Provide Search facility.,TRUE,Header
FALSE,Requirement,Search,3.1.4,3.1.4.1,The system shall enable user to enter the search text on the screen.,Provide Search facility.,TRUE,Web API
FALSE,Test,Products,3.1.4.1,SearchAPIExists,Confirms the search API exists.,Provide Search facility.,TRUE,Test case
FALSE,Requirement,Search,3.1.4,3.1.4.2,The system shall enable user to select multiple options on the screen to search.,Provide Search facility.,FALSE,Requires GUI.
FALSE,Requirement,Search,3.1.4,3.1.4.3,The system shall display all the matching products based on the search.,Provide Search facility.,TRUE,Web API
FALSE,Test,Products,3.1.4.3,ResultsFound,Indicates results for existing products.,Provide Search facility.,TRUE,Test case
FALSE,Requirement,Search,3.1.4,3.1.4.4,The system shall display only 10 matching result on the current screen.,Provide Search facility.,TRUE,Web API
FALSE,Test,Products,3.1.4.4,PaginationLimit,Response is limited to 10 returned items.,Provide Search facility.,TRUE,Test case
FALSE,Requirement,Search,3.1.4,3.1.4.5,The system shall enable user to navigate between the search results.,Provide Search facility.,FALSE,Requires GUI.
FALSE,Requirement,Search,3.1.4,3.1.4.6,The system shall notify the user when no matching product is found on the search.,Provide Search facility.,TRUE,Web API
FALSE,Test,Products,3.1.4.6,NoResultsFound,Indicates no results are found if a product doesn't exist.,Provide Search facility.,TRUE,Test case
TRUE,Header,Customer,3.1,3.1.5,Maintain customer profile.,Maintain customer profile.,TRUE,Header
FALSE,Requirement,Customer,3.1.5,3.1.5.1,The system shall allow user to create profile and set his credential.,Maintain customer profile.,TRUE,Web API
FALSE,Test,Customer,3.1.5.1,CreateUserProfile,"Allows the caller to create a user profile, including a password.",Maintain customer profile.,TRUE,Test case
FALSE,Requirement,Customer,3.1.5,3.1.5.2,The system shall authenticate user credentials to view the profile.,Maintain customer profile.,FALSE,Not a full implementation for production use.
FALSE,Requirement,Customer,3.1.5,3.1.5.3,The system shall allow user to update the profile information.,Maintain customer profile.,TRUE,Web API
FALSE,Test,Customer,3.1.5.3,UpdateUserProfile,Allows the caller to update a user profile,Maintain customer profile.,TRUE,Test case
TRUE,Header,Customer,3.1,3.1.6,Provide personalized profile,Provide personalized profile,TRUE,Header
FALSE,Requirement,Customer,3.1.6,3.1.6.1,The system shall display both the active and completed order history in the customer profile.,Provide personalized profile,TRUE,Web API
FALSE,Test,Customer,3.1.6.1,DisplayEmptyOrderHistory,Return an empty order history if user has no active or completed orders.,Provide personalized profile,TRUE,Test case
FALSE,Test,Customer,3.1.6.1,DisplayPopulatedOrderHistoryAll,Return a complete order history if user has active and completed orders.,Provide personalized profile,TRUE,Test case
